k,mean_f1
1,0.8278104942902024
2,0.9673084665796882
3,0.9782045217220418
4,0.9784875030396195
5,0.9910884972160718
6,0.9924377986803569
7,0.9940978877204968
8,0.9935700831812788
9,0.9937749216543716
10,0.9939474914957852
11,0.9937928471452459
12,0.9935686245025476
13,0.9937744161267185
14,0.9935410134088692
15,0.9936291016209063
16,0.9935401274121931
17,0.9935900379742529
18,0.9938461359985484
19,0.9934457214168346
20,0.9936763927074944
21,0.9937448518145514
22,0.9934595742309287
23,0.9939017284169541
24,0.9935725802025218
25,0.9936422196983877
26,0.9937628063322496
27,0.993560103019469
28,0.9937287192094252
29,0.9935437110915911
30,0.9937725336170642
31,0.9935822468889136
32,0.9933935263705268
33,0.9932697934493682
34,0.9934951489878935
35,0.993523840373951
36,0.9931112113361147
37,0.9936950588230115
38,0.9934719574874441
39,0.9939113433834734
40,0.9943235887716785
41,0.9946251419815192
42,0.9944410282665245
43,0.9944059518613267
44,0.9941531585302839
45,0.9944340889401743
46,0.9943442874837821
47,0.9945155736408043
48,0.9944488067338056
49,0.9943951807669159
50,0.9943634437169978
51,0.9942302869661402
52,0.9944913064691802
53,0.994379885662871
