feature,importance
sBytesAvg,0.005751946233885247
rBytesAvg,0.0040387517381631185
sFinRate,0.0
rFinRate,0.004340894857941474
sSynRate,0.0
rSynRate,0.0
sRstRate,0.0
rRstRate,0.0
sttl,0.008425867462353897
rttl,0.08603448307326525
sAckRate,0.0
rAckRate,0.0
sAckDelayMax,0.004816271997007811
rAckDelayMax,0.1542121358000779
sPackets,0.23835965011305738
rPackets,0.3500727616412368
sWinTCP,0.025283848995665246
rWinTCP,0.0020881489745906913
sPayloadAvg,0.0006002040446044471
rPayloadAvg,0.0017931399069503293
sInterPacketAvg,0.06503340973089503
rInterPacketAvg,0.04914848543030521
